Reference,Value,Part Description,,,,,,,,,DNP
BT1,Battery_Cell,"Battery Retainer Coin, 20.0mm 1 Cell SMD (SMT) Tab",,,,,,,,,
"C1,C9,C10,C12,C13,C18, C19,C57,C58 ",100n,0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric),,,,,,,,,
"C5,C6,C7,C8,C14,C21,C47, C49,C51,C54,C55,C56,C62, C63,C64,C65,C66,C67",10u,10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric),,,,,,,,,
C11,4.7nF,4.7nF capacitor 0402,,,,,,,,,
C20,100uF,"Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR",,,,,,,,,
"C34,C37,C39",10u 35v,10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric),,,,,,,,,
C36,100n 100v,0.1uF 10% 100V Ceramic Capacitor X5R 0402 (1005 Metric),,,,,,,,,
"C59,C61",nf,"220 pF, 50 V, 0402 [1005 Metric], ± 5%, C0G / NP0/CH, GCM Series",,,,,,,,,
C60,1.2nF,1200pF 10% 10V Ceramic Capacitor X5R 0402 (1005 Metric),,,,,,,,,
"D4,D5,D6",D_Zener,,,,,,,,,,
"J1,J3",USB3_A,,,,,,,,,,
J2,Conn_02x07_Odd_Even,PinHeader_2x07_P2.54mm_Vertical,,,,,,,,,
J4,Bus_M.2_Socket_M,M.2 M Key connector,,,,,,,,,
J5,Conn_01x22_Female,"22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle",,,,,,,,,
J6,USB_C_Receptacle_USB2.0_14P,,,,,,,,,,
J7,Micro_SD_Card_Det,"9 (8 + 1) Position Card Connector microSD™ Surface Mount, Right Angle Gold",,,,,,,,,
J8,AudioJack4,,,,,,,,,,
J11,USB_C_Receptacle_USB2.0,USBC USB2 data and power connector,,,,,,,,,
J19,Barrel_Jack,DC Power Connectors PCB 2.1MM,,,,,,,,,
J22,690-019-298-412,"HDMI Connector, Right Angle, 19 Contacts, Receptacle, Surface Mount, Surface Mount Right Angle",,,,,,,,,
L1,2.2uH,"Inductor, SMT, 2520, 2u2, IRMS=7A, ISAT=8A, DCR=0.032R",,,,,,,,,
"L5,L6",SRN6045TA-3R3Y,3.3µH Semi-Shielded Wirewound Inductor 7.8A 21mOhm Nonstandard,,,,,,,,,
Module1,ComputeModule5-CM5,"100 Position Connector Receptacle, Center Strip Contacts Surface Mount Gold",,,,,,,,,
"R2,R3",470R,Resistor 470R M1005 1% 63mW,,,,,,,,,
"R9,R16,R28",2.2K 1%,Resistor 2.2K M1005 1% 63mW,,,,,,,,,
"R10,R22,R23,R24,R30,R31",10R,Resistor 10R M1005 1% 63mW,,,,,,,,,
R14,100K,Resistor 100K M1005 1% 63mW,,,,,,,,,
R15,10K 1%,Resistor 10K M1005 1% 63mW,,,,,,,,,
R25,20K 1%,Resistor 20K M1005 1% 63mW,,,,,,,,,
R27,12K 1%,Resistor 12K M1005 1% 63mW,,,,,,,,,
"R34,R35,R37,R38,R39",12K,Resistor 12K M1005 1% 63mW,,,,,,,,,
"U1,U2",TPD4EUSB30,"Quad TVS diode for high speed signals (USB3, GigE etc.)",,,,,,,,,
U3,MagJack-A70-112-331N126,Gigabit Ethernet Magjack,,,,,,,,,
U4,WM8960,,,,,,,,,,
U5,NEO-6M GPS,,,,,,,,,,
U7,32.768KHZ,32KHz Xtal oscilator,,,,,,,,,
U8,AP3441SHE-7B,3A DC-DC converter,,,,,,,,,
U10,BK-18650-PC4,,,,,,,,,,
U11,BK-18650-PC4,,,,,,,,,,
U12,RT9742SNGV,Power Switch/Driver 1:1 N-Channel 500mA SOT-23-3,,,,,,,,,
U16,AP64501SP-13,"Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 5A 8-SOIC (0.154"", 3.90mm Width) Exposed Pad",,,,,,,,,
U17,IP2326,,,,,,,,,,
U18,RT9742GGJ5,Power Switch/Driver 1:1 N-Channel 1A TSOT-23-5,,,,,,,,,
